Player,span,matches,innings,not outs,runs,highscore,average,balls faced,strikerate,hundreds,fifties,ducks,fours,sixes
HH Pandya (IND),2021-2021,5,3,1,69,35*,34.50,45,153.33,-,-,-,7,2
SPD Smith (AUS),2021-2021,7,4,1,69,35,23.00,71,97.18,-,-,-,5,0
Gulbadin Naib (AFG),2021-2021,5,4,2,69,35*,34.50,64,107.81,-,-,-,8,1
Q de Kock (SA),2021-2021,4,4,0,69,34,17.25,64,107.81,-,-,-,10,0
V Kohli (IND),2021-2021,5,3,1,68,57,34.00,68,100.00,-,1,-,5,1
EJG Morgan (ENG),2021-2021,6,4,2,68,40,34.00,57,119.29,-,-,-,5,3
K Doriga (PNG),2021-2021,3,3,1,64,46*,32.00,47,136.17,-,-,1,3,3
GJ Maxwell (AUS),2021-2021,7,7,3,64,28*,16.00,64,100.00,-,-,-,6,1
Karim Janat (AFG),2021-2021,5,3,1,59,42*,29.50,41,143.90,-,-,-,4,3
CN Ackermann (NED),2021-2021,3,3,0,57,35,19.00,57,100.00,-,-,-,3,2
Asif Ali (PAK),2021-2021,6,4,3,57,27*,57.00,24,237.50,-,-,1,1,7
RR Hendricks (SA),2021-2021,4,4,0,56,39,14.00,55,101.81,-,-,-,6,1
GJ Delany (IRE),2021-2021,3,3,0,55,44,18.33,51,107.84,-,-,-,5,2
Afif Hossain (BAN),2021-2021,8,8,1,54,21,7.71,50,108.00,-,-,2,7,0
Mahedi Hasan (BAN),2021-2021,8,6,2,53,27,13.25,48,110.41,-,-,2,5,2
WIA Fernando (SL),2021-2021,8,7,2,52,30*,10.40,62,83.87,-,-,2,1,2
RL Chase (WI),2021-2021,3,3,0,48,39,16.00,56,85.71,-,-,1,4,0
N Vanua (PNG),2021-2021,3,3,0,48,47,16.00,41,117.07,-,-,1,2,2
JM Bairstow (ENG),2021-2021,6,6,2,47,16*,11.75,42,111.90,-,-,1,5,2
Zeeshan Maqsood (OMA),2021-2021,3,2,0,46,34,23.00,46,100.00,-,-,-,3,2
LS Livingstone (ENG),2021-2021,6,3,0,46,28,15.33,29,158.62,-,-,-,2,4
CH Gayle (WI),2021-2021,5,5,0,45,15,9.00,49,91.83,-,-,-,3,3
DA Miller (SA),2021-2021,5,3,2,44,23*,44.00,33,133.33,-,-,-,1,2
S Bau (PNG),2021-2021,3,3,0,44,24,14.66,57,77.19,-,-,-,3,1
CS MacLeod (SCOT),2021-2021,7,6,0,43,16,7.16,71,60.56,-,-,2,1,0
SA Yadav (IND),2021-2021,4,3,2,42,25*,42.00,29,144.82,-,-,-,5,2
MRJ Watt (SCOT),2021-2021,8,6,1,42,22,8.40,43,97.67,-,-,1,4,0
Asghar Afghan (AFG),2021-2021,3,2,0,41,31,20.50,30,136.66,-,-,-,4,2
Mohammad Nadeem (OMA),2021-2021,3,2,1,39,25,39.00,33,118.18,-,-,-,1,3
RA Jadeja (IND),2021-2021,5,2,1,39,26*,39.00,32,121.87,-,-,-,3,1
KJ O'Brien (IRE),2021-2021,3,3,0,39,25,13.00,37,105.40,-,-,-,5,0
CJA Amini (PNG),2021-2021,3,3,0,39,37,13.00,31,125.80,-,-,-,4,1
C Campher (IRE),2021-2021,3,3,1,35,24,17.50,40,87.50,-,-,-,3,0
K Rabada (SA),2021-2021,5,2,2,32,19*,-,30,106.66,-,-,-,2,2
R Trumpelmann (NAM),2021-2021,8,4,3,32,13*,32.00,22,145.45,-,-,-,4,1
