Player,span,matches,innings,dismissals,catches,stumpings,max dismissals in innings,dismissals/innings
JC Buttler (ENG),2022-2022,6,6,9,9,-,3 (3ct 0st),1.5
SA Edwards (NED),2022-2022,8,8,9,9,-,2 (2ct 0st),1.125
Q de Kock (SA),2022-2022,5,5,7,6,1,3 (3ct 0st),1.4
DP Conway (NZ),2022-2022,5,5,6,4,2,2 (2ct 0st),1.2
LJ Tucker (IRE),2022-2022,7,7,6,5,1,2 (2ct 0st),0.857
BKG Mendis (SL),2022-2022,8,8,6,4,2,2 (2ct 0st),0.75
Nurul Hasan (BAN),2022-2022,5,5,5,4,1,3 (2ct 1st),1
RW Chakabva (ZIM),2022-2022,8,8,5,4,1,2 (1ct 1st),0.625
ZE Green (NAM),2022-2022,3,3,4,4,-,3 (3ct 0st),1.333
KD Karthik (IND),2022-2022,4,4,4,4,-,2 (2ct 0st),1
Mohammad Rizwan (PAK),2022-2022,7,7,4,3,1,2 (1ct 1st),0.571
MH Cross (SCOT),2022-2022,3,3,3,3,-,1 (1ct 0st),1
Rahmanullah Gurbaz (AFG),2022-2022,3,3,3,3,-,2 (2ct 0st),1
MS Wade (AUS),2022-2022,4,4,3,2,1,2 (2ct 0st),0.75
V Aravind (UAE),2022-2022,3,3,1,1,-,1 (1ct 0st),0.333
N Pooran (WI),2022-2022,3,3,1,1,-,1 (1ct 0st),0.333
RR Pant (IND),2022-2022,2,2,-,-,-,0,-
