Player,span,matches,innings,balls,overs,maidens,runs,wickets,BBI,BBM,average,economy,strike rate,four wicket haul,fifer,bowling-style
MR Adair (IRE),2021-2021,3,3,58,9.4,-,56,5,9-Mar,9-Mar,11.2,5.79,11.6,-,-,Right-arm fast
Zeeshan Maqsood (OMA),2021-2021,3,3,54,9,-,56,5,20-Apr,20-Apr,11.2,6.22,10.8,1,-,Leg-spin
JB Little (IRE),2021-2021,3,3,72,12,-,59,5,23-Apr,23-Apr,11.8,4.91,14.4,1,-,Left-arm fast-medium
Mohammad Saifuddin (BAN),2021-2021,4,4,90,15,-,105,5,21-Feb,21-Feb,21,7,18,-,-,Right-arm fast-medium
AJ Hosein (WI),2021-2021,5,5,108,18,-,126,5,24-Feb,24-Feb,25.2,7,21.6,-,-,Left-arm orthodox
Naveen-ul-Haq (AFG),2021-2021,5,5,90,15,-,135,5,26-Mar,26-Mar,27,9,18,-,-,Right-arm fast-medium
PJ Cummins (AUS),2021-2021,7,7,144,24,-,177,5,Feb-34,Feb-34,35.4,7.37,28.8,-,-,Right-arm fast
Hasan Ali (PAK),2021-2021,6,6,138,23,2,207,5,Feb-44,Feb-44,41.4,9,27.6,-,-,Right-arm fast-medium
Kaleemullah (OMA),2021-2021,2,2,42,7,-,49,4,19-Feb,19-Feb,12.25,7,10.5,-,-,Right-arm fast-medium
Fayyaz Butt (OMA),2021-2021,2,2,42,7,-,56,4,30-Mar,30-Mar,14,8,10.5,-,-,Right-arm fast-medium
Shoriful Islam (BAN),2021-2021,4,4,73,12.1,-,70,4,20-Feb,20-Feb,17.5,5.75,18.25,-,-,Left-arm fast-medium
Nasum Ahmed (BAN),2021-2021,3,3,47,7.5,-,77,4,Feb-29,Feb-29,19.25,9.82,11.75,-,-,Left-arm orthodox
MA Leask (SCOT),2021-2021,8,6,66,11,-,86,4,12-Feb,12-Feb,21.5,7.81,16.5,-,-,Right-arm medium
Imad Wasim (PAK),2021-2021,6,6,120,20,-,114,4,25-Feb,25-Feb,28.5,5.7,30,-,-,Left-arm orthodox
JJ Smit (NAM),2021-2021,8,8,144,24,-,198,4,7-Jan,7-Jan,49.5,8.25,36,-,-,Right-arm off-spin
B Fernando (SL),2021-2021,2,2,30,5,-,51,3,24-Feb,24-Feb,17,10.2,10,-,-,Right-arm fast-medium
Hamid Hassan (AFG),2021-2021,3,3,66,11,-,57,3,9-Mar,9-Mar,19,5.18,22,-,-,Right-arm fast-medium
Gulbadin Naib (AFG),2021-2021,5,3,55,9.1,1,67,3,19-Feb,19-Feb,22.33,7.3,18.33,-,-,Right-arm off-spin
CA Soper (PNG),2021-2021,2,2,48,8,-,77,3,24-Mar,24-Mar,25.66,9.62,16,-,-,Right-arm fast-medium
JDS Neesham (NZ),2021-2021,7,5,66,11,-,81,3,6-Jan,6-Jan,27,7.36,22,-,-,Right-arm fast-medium
BM Scholtz (NAM),2021-2021,7,7,102,17,-,122,3,15-Jan,15-Jan,40.65,7.17,34,-,-,Right-arm off-spin
AD Russell (WI),2021-2021,5,4,80,13.2,-,123,3,Feb-33,Feb-33,41,9.22,26.66,-,-,Right-arm fast
KA Maharaj (SA),2021-2021,5,5,114,19,-,127,3,24-Feb,24-Feb,42.33,6.68,38,-,-,Left-arm orthodox
AF Milne (NZ),2021-2021,6,6,144,24,1,169,3,17-Jan,17-Jan,56.33,7.04,48,-,-,Right-arm fast-medium
PM Seelaar (NED),2021-2021,3,2,25,4.1,1,22,2,8-Jan,8-Jan,11,5.28,12.5,-,-,Right-arm off-spin
BD Glover (NED),2021-2021,2,2,36,6,-,33,2,12-Jan,12-Jan,16.5,5.5,18,-,-,Right-arm fast-medium
SK Atai (PNG),2021-2021,3,3,30,5,-,35,2,6-Jan,6-Jan,17.5,7,15,-,-,Right-arm fast-medium
A Vala (PNG),2021-2021,3,2,24,4,-,37,2,26-Feb,26-Feb,18.5,9.25,12,-,-,Right-arm off-spin
FJ Klaassen (NED),2021-2021,3,3,55,9.1,-,44,2,14-Jan,14-Jan,22,4.8,27.5,-,-,Right-arm fast
D Ravu (PNG),2021-2021,2,2,42,7,-,68,2,Feb-40,Feb-40,34,9.71,21,-,-,Left-arm orthodox
MD Shanaka (SL),2021-2021,8,5,48,8,-,69,2,6-Jan,6-Jan,34.5,8.62,24,-,-,Right-arm fast-medium
R Rampaul (WI),2021-2021,4,4,78,13,-,98,2,14-Jan,14-Jan,49,7.53,39,-,-,Right-arm fast
GJ Maxwell (AUS),2021-2021,7,6,84,14,-,100,2,6-Jan,6-Jan,50,7.14,42,-,-,Right-arm off-spin
JN Loftie-Eaton (NAM),2021-2021,8,5,78,13,-,103,2,21-Feb,21-Feb,51.5,7.92,39,-,-,Left-arm orthodox
DJ Bravo (WI),2021-2021,5,4,96,16,-,137,2,Jan-36,Jan-36,68.5,8.56,48,-,-,Right-arm fast-medium
MJ Santner (NZ),2021-2021,7,7,132,22,-,149,2,20-Jan,20-Jan,74.5,6.77,66,-,-,Left-arm orthodox
PR Stirling (IRE),2021-2021,3,2,12,2,-,5,1,4-Jan,4-Jan,5,2.5,12,-,-,Right-arm fast-medium
CH Gayle (WI),2021-2021,5,1,6,1,-,7,1,7-Jan,7-Jan,7,7,6,-,-,Right-arm fast
AC Agar (AUS),2021-2021,1,1,16,2.4,-,15,1,15-Jan,15-Jan,15,5.62,16,-,-,Left-arm orthodox
PA van Meekeren (NED),2021-2021,1,1,12,2,-,20,1,20-Jan,20-Jan,20,10,12,-,-,Right-arm fast-medium
Hamza Tahir (SCOT),2021-2021,1,1,24,4,-,24,1,24-Jan,24-Jan,24,6,24,-,-,Right-arm leg-spin
CN Ackermann (NED),2021-2021,3,1,18,3,-,32,1,Jan-32,Jan-32,32,10.66,18,-,-,Right-arm off-spin
T van der Gugten (NED),2021-2021,1,1,18,3,-,32,1,Jan-32,Jan-32,32,10.66,18,-,-,Right-arm fast
MG Erasmus (NAM),2021-2021,8,3,36,6,-,34,1,22-Jan,22-Jan,34,5.66,36,-,-,Right-arm off-spin
Khawar Ali (OMA),2021-2021,2,2,36,6,-,44,1,27-Jan,27-Jan,44,7.33,36,-,-,Right-arm off-spin
Mohammad Hafeez (PAK),2021-2021,6,4,36,6,-,52,1,16-Jan,16-Jan,52,8.66,36,-,-,Right-arm off-spin
Karim Janat (AFG),2021-2021,5,4,48,8,-,72,1,7-Jan,7-Jan,72,9,48,-,-,Right-arm off-spin
JO Holder (WI),2021-2021,3,3,60,10,-,85,1,22-Jan,22-Jan,85,8.5,60,-,-,Right-arm fast-medium
AC Evans (SCOT),2021-2021,3,3,48,8,-,86,1,22-Jan,22-Jan,86,10.75,48,-,-,Right-arm off-spin
Mohammad Nabi (AFG),2021-2021,5,5,72,12,-,97,1,Jan-36,Jan-36,97,8.08,72,-,-,Right-arm off-spin
