Player,span_x,matches_x,innings_x,not outs,runs_x,highscore,average_x,balls faced,strikerate,hundreds,fifties,ducks,fours,sixes,span_y,matches_y,innings_y,balls,overs,maidens,runs_y,wickets,BBI,BBM,average_y,economy,strike rate,four wicket haul,fifer,bowling-style,span,matches,innings,dismissals,catches,stumpings,max dismissals in innings,dismissals/innings,,position
CG Williams (NAM),2021-2021,8,8,0,119,40,14.87,140,85,-,-,2,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,3
DJ Malan (ENG),2021-2021,6,5,1,116,41,29,97,119.58,-,-,-,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,2
Jatinder Singh (OMA),2021-2021,3,3,1,113,73*,56.5,76,148.68,-,1,1,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,3
Fakhar Zaman (PAK),2021-2021,6,5,1,109,55*,27.25,92,118.47,-,1,-,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,4
E Lewis (WI),2021-2021,5,5,0,105,56,21,81,129.62,-,1,-,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,2
GD Phillips (NZ),2021-2021,7,5,1,105,39*,26.25,94,111.7,-,-,-,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,5
N Pooran (WI),2021-2021,5,5,0,103,46,20.6,76,135.52,-,-,-,10,5,,,,,,,,,,,,,,,,,2021-2021,5,5,-,-,-,0,-,,5
Shoaib Malik (PAK),2021-2021,6,4,2,100,54*,50,55,181.81,-,1,-,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,6
SJ Baard (NAM),2021-2021,5,5,0,97,29,19.39,103,94.17,-,-,-,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,5
CN Greaves (SCOT),2021-2021,8,7,1,97,45,16.16,104,93.26,-,-,-,7,2,2021-2021,8,8,135,22.3,-,187,6,19-Feb,19-Feb,31.16,8.31,22.5,-,-,Right-arm fast-medium,,,,,,,,,,5
MD Shanaka (SL),2021-2021,8,6,3,96,26,32,82,117.07,-,-,-,9,3,2021-2021,8,5,48,8,-,69,2,6-Jan,6-Jan,34.5,8.62,24,-,-,Right-arm fast-medium,,,,,,,,,,5
Aqib Ilyas (OMA),2021-2021,3,3,1,93,50*,46.5,84,110.71,-,1,-,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,4
MM Ali (ENG),2021-2021,6,4,2,92,51*,46,70,131.42,-,1,-,6,4,2021-2021,6,4,84,14,1,77,7,15-Feb,15-Feb,11,5.5,12,-,-,Right-arm off-spin,,,,,,,,,,5
Hazratullah Zazai (AFG),2021-2021,5,5,0,92,44,18.39,81,113.58,-,-,1,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,1
T Bavuma (SA),2021-2021,5,4,1,91,46,30.33,84,108.33,-,-,-,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,4
KA Pollard (WI),2021-2021,5,5,1,90,44,22.5,84,107.14,-,-,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,6
JDS Neesham (NZ),2021-2021,7,5,3,86,35*,43,49,175.51,-,-,-,3,6,2021-2021,7,5,66,11,-,81,3,6-Jan,6-Jan,27,7.36,22,-,-,Right-arm fast-medium,,,,,,,,,,6
Mohammad Hafeez (PAK),2021-2021,6,5,2,85,32*,28.33,52,163.46,-,-,-,10,2,2021-2021,6,4,36,6,-,52,1,16-Jan,16-Jan,52,8.66,36,-,-,Right-arm off-spin,,,,,,,,,,6
Rahmanullah Gurbaz (AFG),2021-2021,5,5,0,85,46,17,71,119.71,-,-,-,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,2
KJ Coetzer (SCOT),2021-2021,7,7,0,84,41,12,82,102.43,-,-,1,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,4
A Vala (PNG),2021-2021,3,3,0,80,56,26.66,63,126.98,-,1,-,8,3,2021-2021,3,2,24,4,-,37,2,26-Feb,26-Feb,18.5,9.25,12,-,-,Right-arm off-spin,,,,,,,,,,4
MP Stoinis (AUS),2021-2021,7,4,3,80,40*,80,58,137.93,-,-,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,5
ZE Green (NAM),2021-2021,8,7,0,80,24,11.42,105,76.19,-,-,1,6,1,,,,,,,,,,,,,,,,,2021-2021,8,8,5,5,-,1 (1ct 0st),0.625,,5
Mohammad Shahzad (AFG),2021-2021,5,5,0,79,45,15.8,72,109.72,-,-,1,7,3,,,,,,,,,,,,,,,,,2021-2021,5,5,4,4,-,1 (1ct 0st),0.8,,3
RR Pant (IND),2021-2021,5,3,1,78,39,39,62,125.8,-,-,-,3,5,,,,,,,,,,,,,,,,,2021-2021,5,5,2,1,1,2 (1ct 1st),0.4,,4
JJ Smit (NAM),2021-2021,8,7,4,78,32*,26,80,97.5,-,-,1,6,2,2021-2021,8,8,144,24,-,198,4,7-Jan,7-Jan,49.5,8.25,36,-,-,Right-arm off-spin,,,,,,,,,,5
PR Stirling (IRE),2021-2021,3,3,1,75,38,37.5,70,107.14,-,-,-,7,2,2021-2021,3,2,12,2,-,5,1,4-Jan,4-Jan,5,2.5,12,-,-,Right-arm fast-medium,,,,,,,,,,2
MS Wade (AUS),2021-2021,7,3,2,74,41*,74,45,164.44,-,-,-,6,4,,,,,,,,,,,,,,,,,2021-2021,7,7,9,9,-,2 (2ct 0st),1.285,,6
M van Lingen (NAM),2021-2021,7,5,0,72,25,14.4,74,97.29,-,-,-,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,6
A Balbirnie (IRE),2021-2021,3,3,0,70,41,23.33,73,95.89,-,-,-,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,1
HH Pandya (IND),2021-2021,5,3,1,69,35*,34.5,45,153.33,-,-,-,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,6
SPD Smith (AUS),2021-2021,7,4,1,69,35,23,71,97.18,-,-,-,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,3
Gulbadin Naib (AFG),2021-2021,5,4,2,69,35*,34.5,64,107.81,-,-,-,8,1,2021-2021,5,3,55,9.1,1,67,3,19-Feb,19-Feb,22.33,7.3,18.33,-,-,Right-arm off-spin,,,,,,,,,,5
Q de Kock (SA),2021-2021,4,4,0,69,34,17.25,64,107.81,-,-,-,10,0,,,,,,,,,,,,,,,,,2021-2021,4,4,-,-,-,0,-,,2
V Kohli (IND),2021-2021,5,3,1,68,57,34,68,100,-,1,-,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,3
EJG Morgan (ENG),2021-2021,6,4,2,68,40,34,57,119.29,-,-,-,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,5
K Doriga (PNG),2021-2021,3,3,1,64,46*,32,47,136.17,-,-,1,3,3,,,,,,,,,,,,,,,,,2021-2021,3,3,-,-,-,0,-,,4
GJ Maxwell (AUS),2021-2021,7,7,3,64,28*,16,64,100,-,-,-,6,1,2021-2021,7,6,84,14,-,100,2,6-Jan,6-Jan,50,7.14,42,-,-,Right-arm off-spin,,,,,,,,,,5
Karim Janat (AFG),2021-2021,5,3,1,59,42*,29.5,41,143.9,-,-,-,4,3,2021-2021,5,4,48,8,-,72,1,7-Jan,7-Jan,72,9,48,-,-,Right-arm off-spin,,,,,,,,,,4
CN Ackermann (NED),2021-2021,3,3,0,57,35,19,57,100,-,-,-,3,2,2021-2021,3,1,18,3,-,32,1,Jan-32,Jan-32,32,10.66,18,-,-,Right-arm off-spin,,,,,,,,,,6
Asif Ali (PAK),2021-2021,6,4,3,57,27*,57,24,237.5,-,-,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,6
RR Hendricks (SA),2021-2021,4,4,0,56,39,14,55,101.81,-,-,-,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,6
GJ Delany (IRE),2021-2021,3,3,0,55,44,18.33,51,107.84,-,-,-,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,5
Afif Hossain (BAN),2021-2021,8,8,1,54,21,7.71,50,108,-,-,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,3
Mahedi Hasan (BAN),2021-2021,8,6,2,53,27,13.25,48,110.41,-,-,2,5,2,2021-2021,8,7,147,24.3,-,150,8,19-Mar,19-Mar,18.75,6.12,18.37,-,-,Right-arm leg-spin,,,,,,,,,,7
WIA Fernando (SL),2021-2021,8,7,2,52,30*,10.4,62,83.87,-,-,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,7
RL Chase (WI),2021-2021,3,3,0,48,39,16,56,85.71,-,-,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,5
N Vanua (PNG),2021-2021,3,3,0,48,47,16,41,117.07,-,-,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,7
JM Bairstow (ENG),2021-2021,6,6,2,47,16*,11.75,42,111.9,-,-,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,5
Zeeshan Maqsood (OMA),2021-2021,3,2,0,46,34,23,46,100,-,-,-,3,2,2021-2021,3,3,54,9,-,56,5,20-Apr,20-Apr,11.2,6.22,10.8,1,-,Leg-spin,,,,,,,,,,6
LS Livingstone (ENG),2021-2021,6,3,0,46,28,15.33,29,158.62,-,-,-,2,4,2021-2021,6,4,90,15,-,86,6,15-Feb,15-Feb,14.33,5.73,15,-,-,Leg-spin,,,,,,,,,,6
CH Gayle (WI),2021-2021,5,5,0,45,15,9,49,91.83,-,-,-,3,3,2021-2021,5,1,6,1,-,7,1,7-Jan,7-Jan,7,7,6,-,-,Right-arm fast,,,,,,,,,,1
DA Miller (SA),2021-2021,5,3,2,44,23*,44,33,133.33,-,-,-,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,5
S Bau (PNG),2021-2021,3,3,0,44,24,14.66,57,77.19,-,-,-,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,6
CS MacLeod (SCOT),2021-2021,7,6,0,43,16,7.16,71,60.56,-,-,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,6
SA Yadav (IND),2021-2021,4,3,2,42,25*,42,29,144.82,-,-,-,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,4
MRJ Watt (SCOT),2021-2021,8,6,1,42,22,8.4,43,97.67,-,-,1,4,0,2021-2021,8,8,180,30,-,184,7,13-Jan,13-Jan,26.28,6.13,25.71,-,-,Right-arm fast-medium,,,,,,,,,,6
Asghar Afghan (AFG),2021-2021,3,2,0,41,31,20.5,30,136.66,-,-,-,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,5
Mohammad Nadeem (OMA),2021-2021,3,2,1,39,25,39,33,118.18,-,-,-,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,6
RA Jadeja (IND),2021-2021,5,2,1,39,26*,39,32,121.87,-,-,-,3,1,2021-2021,5,5,102,17,-,101,7,15-Mar,15-Mar,14.42,5.94,14.57,-,-,Left-arm orthodox,,,,,,,,,,6
KJ O'Brien (IRE),2021-2021,3,3,0,39,25,13,37,105.4,-,-,-,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,6
CJA Amini (PNG),2021-2021,3,3,0,39,37,13,31,125.8,-,-,-,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,6
C Campher (IRE),2021-2021,3,3,1,35,24,17.5,40,87.5,-,-,-,3,0,2021-2021,3,3,66,11,-,78,6,26-Apr,26-Apr,13,7.09,11,1,-,Right-arm fast-medium,,,,,,,,,,6
K Rabada (SA),2021-2021,5,2,2,32,19*,-,30,106.66,-,-,-,2,2,2021-2021,5,5,114,19,-,155,8,20-Mar,20-Mar,19.37,8.15,14.25,-,-,Right-arm fast,,,,,,,,,,9
R Trumpelmann (NAM),2021-2021,8,4,3,32,13*,32,22,145.45,-,-,-,4,1,2021-2021,8,8,168,28,1,215,6,17-Mar,17-Mar,35.83,7.67,28,-,-,Right-arm fast,,,,,,,,,,9
A Zampa (AUS),,,,,,,,,,,,,,,2021-2021,7,7,162,27,-,157,13,19-May,19-May,12.07,5.81,12.46,-,1,Right-arm leg-spin,,,,,,,,,,8
TA Boult (NZ),,,,,,,,,,,,,,,2021-2021,7,7,166,27.4,-,173,13,17-Mar,17-Mar,13.3,6.25,12.76,-,-,Left-arm fast,,,,,,,,,,10
JR Hazlewood (AUS),,,,,,,,,,,,,,,2021-2021,7,7,144,24,1,175,11,Apr-39,Apr-39,15.9,7.29,13.09,1,-,Right-arm fast-medium,,,,,,,,,,11
D Pretorius (SA),,,,,,,,,,,,,,,2021-2021,5,5,88,14.4,-,101,9,17-Mar,17-Mar,11.22,6.88,9.77,-,-,Right-arm fast-medium,,,,,,,,,,7
A Nortje (SA),,,,,,,,,,,,,,,2021-2021,5,5,116,19.2,-,104,9,8-Mar,8-Mar,11.55,5.37,12.88,-,-,Right-arm fast,,,,,,,,,,10
JH Davey (SCOT),,,,,,,,,,,,,,,2021-2021,5,5,105,17.3,-,123,9,18-Apr,18-Apr,13.66,7.02,11.66,1,-,Right-arm fast-medium,,,,,,,,,,10
