Player,span_x,matches_x,innings_x,not outs,runs_x,highscore,average_x,balls faced,strikerate,hundreds,fifties,ducks,fours,sixes,span_y,matches_y,innings_y,balls,overs,maidens,runs_y,wickets,BBI,BBM,average_y,economy,strike rate,four wicket haul,fifer,bowling-style,span,matches,innings,dismissals,catches,stumpings,max dismissals in innings,dismissals/innings,,position
BM Scholtz (NAM),,,,,,,,,,,,,,,2021-2021,7,7,102,17,-,122,3,15-Jan,15-Jan,40.65,7.17,34,-,-,Right-arm off-spin,,,,,,,,,,7
AD Russell (WI),,,,,,,,,,,,,,,2021-2021,5,4,80,13.2,-,123,3,Feb-33,Feb-33,41,9.22,26.66,-,-,Right-arm fast,,,,,,,,,,7
KA Maharaj (SA),,,,,,,,,,,,,,,2021-2021,5,5,114,19,-,127,3,24-Feb,24-Feb,42.33,6.68,38,-,-,Left-arm orthodox,,,,,,,,,,7
AF Milne (NZ),,,,,,,,,,,,,,,2021-2021,6,6,144,24,1,169,3,17-Jan,17-Jan,56.33,7.04,48,-,-,Right-arm fast-medium,,,,,,,,,,8
PM Seelaar (NED),,,,,,,,,,,,,,,2021-2021,3,2,25,4.1,1,22,2,8-Jan,8-Jan,11,5.28,12.5,-,-,Right-arm off-spin,,,,,,,,,,8
BD Glover (NED),,,,,,,,,,,,,,,2021-2021,2,2,36,6,-,33,2,12-Jan,12-Jan,16.5,5.5,18,-,-,Right-arm fast-medium,,,,,,,,,,8
SK Atai (PNG),,,,,,,,,,,,,,,2021-2021,3,3,30,5,-,35,2,6-Jan,6-Jan,17.5,7,15,-,-,Right-arm fast-medium,,,,,,,,,,6
FJ Klaassen (NED),,,,,,,,,,,,,,,2021-2021,3,3,55,9.1,-,44,2,14-Jan,14-Jan,22,4.8,27.5,-,-,Right-arm fast,,,,,,,,,,6
D Ravu (PNG),,,,,,,,,,,,,,,2021-2021,2,2,42,7,-,68,2,Feb-40,Feb-40,34,9.71,21,-,-,Left-arm orthodox,,,,,,,,,,6
R Rampaul (WI),,,,,,,,,,,,,,,2021-2021,4,4,78,13,-,98,2,14-Jan,14-Jan,49,7.53,39,-,-,Right-arm fast,,,,,,,,,,6
JN Loftie-Eaton (NAM),,,,,,,,,,,,,,,2021-2021,8,5,78,13,-,103,2,21-Feb,21-Feb,51.5,7.92,39,-,-,Left-arm orthodox,,,,,,,,,,7
DJ Bravo (WI),,,,,,,,,,,,,,,2021-2021,5,4,96,16,-,137,2,Jan-36,Jan-36,68.5,8.56,48,-,-,Right-arm fast-medium,,,,,,,,,,7
MJ Santner (NZ),,,,,,,,,,,,,,,2021-2021,7,7,132,22,-,149,2,20-Jan,20-Jan,74.5,6.77,66,-,-,Left-arm orthodox,,,,,,,,,,7
AC Agar (AUS),,,,,,,,,,,,,,,2021-2021,1,1,16,2.4,-,15,1,15-Jan,15-Jan,15,5.62,16,-,-,Left-arm orthodox,,,,,,,,,,7
PA van Meekeren (NED),,,,,,,,,,,,,,,2021-2021,1,1,12,2,-,20,1,20-Jan,20-Jan,20,10,12,-,-,Right-arm fast-medium,,,,,,,,,,7
Hamza Tahir (SCOT),,,,,,,,,,,,,,,2021-2021,1,1,24,4,-,24,1,24-Jan,24-Jan,24,6,24,-,-,Right-arm leg-spin,,,,,,,,,,5
T van der Gugten (NED),,,,,,,,,,,,,,,2021-2021,1,1,18,3,-,32,1,Jan-32,Jan-32,32,10.66,18,-,-,Right-arm fast,,,,,,,,,,6
Khawar Ali (OMA),,,,,,,,,,,,,,,2021-2021,2,2,36,6,-,44,1,27-Jan,27-Jan,44,7.33,36,-,-,Right-arm off-spin,,,,,,,,,,6
JO Holder (WI),,,,,,,,,,,,,,,2021-2021,3,3,60,10,-,85,1,22-Jan,22-Jan,85,8.5,60,-,-,Right-arm fast-medium,,,,,,,,,,6
AC Evans (SCOT),,,,,,,,,,,,,,,2021-2021,3,3,48,8,-,86,1,22-Jan,22-Jan,86,10.75,48,-,-,Right-arm off-spin,,,,,,,,,,6
Nurul Hasan (BAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-2021,5,5,5,5,-,3 (3ct 0st),1,,5
NA Rock (IRE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-2021,3,3,2,2,-,1 (1ct 0st),0.666,,3
H Klaasen (SA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-2021,2,1,1,1,-,1 (1ct 0st),1,,6
Naseem Khushi (OMA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-2021,3,2,1,1,-,1 (1ct 0st),0.5,,4
SA Edwards (NED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-2021,3,3,1,1,-,1 (1ct 0st),0.333,,5
Suraj Kumar (OMA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-2021,1,1,-,-,-,0,-,,4
TL Seifert (NZ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-2021,2,2,-,-,-,0,-,,5
